run_id,model,vignette,temperature,slice,n_trials,mode,validity_rate,jaccard_all,jaccard_valid,modal_set_agreement,bertscore_f1,bertscore_precision,bertscore_recall,alignment_mean,n_confrontation,n_self_empowerment,n_safety,n_cognitive_reframe,n_social_support,n_sensory_modulation,align_confrontation,align_self_empowerment,align_safety,align_cognitive_reframe,align_social_support,align_sensory_modulation,tier
20260312_151435_gpt_oss_test_anxious,gpt_oss_test,anxious,0.7,,10,fused,1.0,0.6888888888888887,0.6888888888888887,,0.7455405592918396,0.7450968623161316,0.7463131546974182,0.875,0,10,7,0,3,0,,0.75,1.0,,1.0,,test
20260312_153953_gpt_oss_test_avoidant,gpt_oss_test,avoidant,0.7,,10,fused,1.0,0.6814814814814814,0.6814814814814814,,0.6681070923805237,0.6722745299339294,0.6642442941665649,0.975,1,8,9,1,1,0,1.0,0.9375,1.0,1.0,1.0,,test
20260312_151657_gpt_oss_test_cooperative,gpt_oss_test,cooperative,0.7,,10,fused,1.0,1.0,1.0,,0.7333082556724548,0.7291901707649231,0.7379481792449951,1.0,0,10,0,0,0,10,,1.0,,,,1.0,test
20260312_151818_gpt_oss_test_resistant,gpt_oss_test,resistant,0.7,,10,fused,1.0,0.4222222222222222,0.4222222222222222,,0.7614902257919312,0.7605014443397522,0.7634331583976746,1.0,0,0,4,7,3,6,,,1.0,1.0,1.0,1.0,test
20260312_151919_gpt_oss_test_skeptic,gpt_oss_test,skeptic,0.7,,10,fused,1.0,0.8666666666666667,0.8666666666666667,,0.7108513116836548,0.7117475867271423,0.7107765078544617,1.0,0,9,10,1,0,0,,1.0,1.0,1.0,,,test
20260312_152031_gpt_oss_test_trauma,gpt_oss_test,trauma,0.7,,10,fused,1.0,1.0,1.0,,0.7063577175140381,0.7095886468887329,0.7034502625465393,1.0,10,10,0,0,0,0,1.0,1.0,,,,,test
20260312_031634_llama70b_test_anxious,llama70b_test,anxious,0.7,,10,fused,1.0,0.8666666666666667,0.8666666666666667,,0.8310709595680237,0.8308531641960144,0.8316554427146912,1.0,1,0,0,9,0,10,1.0,,,1.0,,1.0,test
20260313_014551_llama70b_test_anxious,llama70b_test,anxious,0.7,,3,fused,1.0,1.0,1.0,,0.7138309478759766,0.7159095406532288,0.7121098637580872,1.0,0,0,0,3,0,3,,,,1.0,,1.0,test
20260312_153111_llama70b_test_avoidant,llama70b_test,avoidant,0.7,,10,fused,1.0,0.6444444444444442,0.6444444444444442,,0.6711462140083313,0.6731997728347778,0.6697440147399902,0.95,4,0,6,10,0,0,0.75,,1.0,1.0,,,test
20260312_153326_llama70b_test_cooperative,llama70b_test,cooperative,0.7,,10,fused,1.0,0.57037037037037,0.57037037037037,,0.7015764713287354,0.6992000341415405,0.7045130133628845,0.75,4,5,1,0,0,10,0.0,1.0,0.0,,,1.0,test
20260312_153423_llama70b_test_resistant,llama70b_test,resistant,0.7,,10,fused,1.0,0.4370370370370369,0.4370370370370369,,0.6756390333175659,0.6731624007225037,0.6786401271820068,0.85,4,2,1,10,1,1,1.0,1.0,0.0,1.0,0.0,1.0,test
20260312_153638_llama70b_test_skeptic,llama70b_test,skeptic,0.7,,10,fused,1.0,0.4444444444444444,0.4444444444444444,,0.6937648057937622,0.6934993267059326,0.6943180561065674,0.95,3,2,1,5,0,9,1.0,1.0,0.0,1.0,,1.0,test
20260312_153754_llama70b_test_trauma,llama70b_test,trauma,0.7,,10,fused,1.0,0.48148148148148145,0.48148148148148145,,0.6815316677093506,0.6818684935569763,0.681727409362793,0.825,8,5,6,1,0,0,1.0,0.9,0.6666666666666666,0.0,,,test
