run_id,model,vignette,temperature,slice,n_trials,mode,validity_rate,jaccard_all,jaccard_valid,modal_set_agreement,bertscore_f1,bertscore_precision,bertscore_recall,alignment_mean,n_confrontation,n_self_empowerment,n_safety,n_cognitive_reframe,n_social_support,n_sensory_modulation,align_confrontation,align_self_empowerment,align_safety,align_cognitive_reframe,align_social_support,align_sensory_modulation,tier
20260321_210434_llama70b_anxious,llama70b,anxious,0.0,,10,fused,1.0,1.0,1.0,1.0,0.8450437784194946,0.8500773310661316,0.840299665927887,0.95,0,0,0,10,0,10,,,,1.0,,0.9,experiment
20260321_210542_llama70b_anxious,llama70b,anxious,0.15,,10,fused,1.0,1.0,1.0,1.0,0.7897489666938782,0.7921252846717834,0.7875950336456299,1.0,0,0,0,10,0,10,,,,1.0,,1.0,experiment
20260321_210637_llama70b_anxious,llama70b,anxious,0.3,,10,fused,1.0,1.0,1.0,1.0,0.7974016666412354,0.7968878149986267,0.7981407046318054,0.925,0,0,0,10,0,10,,,,0.9,,0.95,experiment
20260321_210801_llama70b_anxious,llama70b,anxious,0.6,,10,fused,1.0,1.0,1.0,1.0,0.7481558322906494,0.7471285462379456,0.7496814131736755,0.975,0,0,0,10,0,10,,,,0.95,,1.0,experiment
20260321_210919_llama70b_avoidant,llama70b,avoidant,0.0,,10,fused,1.0,0.8666666666666665,0.8666666666666665,0.9,0.7067691087722778,0.710597813129425,0.703483521938324,0.925,0,9,0,10,1,0,,0.8333333333333334,,1.0,1.0,,experiment
20260321_211010_llama70b_avoidant,llama70b,avoidant,0.15,,10,fused,1.0,0.8666666666666667,0.8666666666666667,0.9,0.7259328961372375,0.7297375798225403,0.7224282026290894,0.975,0,9,0,10,1,0,,0.9444444444444444,,1.0,1.0,,experiment
20260321_211212_llama70b_avoidant,llama70b,avoidant,0.3,,10,fused,1.0,1.0,1.0,1.0,0.7196239829063416,0.7241227030754089,0.7154561281204224,0.925,0,10,0,10,0,0,,0.9,,0.95,,,experiment
20260321_211417_llama70b_avoidant,llama70b,avoidant,0.6,,10,fused,1.0,0.7629629629629631,0.7629629629629631,0.8,0.6931684613227844,0.6935742497444153,0.6930752396583557,0.925,0,8,0,10,2,0,,0.875,,0.95,1.0,,experiment
20260321_211451_llama70b_cooperative,llama70b,cooperative,0.0,,10,fused,1.0,0.7481481481481482,0.7481481481481482,0.8,0.7383782267570496,0.7395695447921753,0.7374184727668762,0.925,0,1,1,8,0,10,,1.0,1.0,0.8125,,1.0,experiment
20260321_211551_llama70b_cooperative,llama70b,cooperative,0.15,,10,fused,1.0,0.6592592592592593,0.6592592592592593,0.7,0.7396196126937866,0.7438122034072876,0.7356283664703369,0.925,0,2,1,7,0,10,,1.0,1.0,0.7857142857142857,,1.0,experiment
20260321_211659_llama70b_cooperative,llama70b,cooperative,0.3,,10,fused,1.0,0.6592592592592591,0.6592592592592591,0.7,0.72972571849823,0.7271726131439209,0.7328134179115295,0.875,0,1,2,7,0,10,,1.0,1.0,0.6428571428571429,,1.0,experiment
