run_id,model,vignette,temperature,n_messages,jaccard,bertscore_f1,alignment,validity,modal_agreement,slice
20260324_180319_mistral_large_anxious,mistral_large,anxious,0.075,11,0.8684210526315791,0.8074212074279785,1.0,1.0,0.9,1
20260323_234642_mistral_large_anxious,mistral_large,anxious,0.075,13,0.9333333333333337,0.7791903614997864,1.0,1.0,0.95,2
20260324_181757_mistral_large_anxious,mistral_large,anxious,0.075,15,1.0,0.7085155248641968,1.0,1.0,1.0,3
20260324_183310_mistral_large_anxious,mistral_large,anxious,0.075,17,1.0,0.7421264052391052,1.0,1.0,1.0,4
20260324_184820_mistral_large_anxious,mistral_large,anxious,0.075,19,1.0,0.7767047882080078,1.0,1.0,1.0,5
20260324_180505_mistral_large_anxious,mistral_large,anxious,0.15,11,0.8210526315789474,0.7390192151069641,0.9875,1.0,0.85,1
20260321_194535_mistral_large_anxious,mistral_large,anxious,0.15,13,1.0,0.8586058020591736,1.0,1.0,1.0,2
20260324_181908_mistral_large_anxious,mistral_large,anxious,0.15,15,1.0,0.7154971361160278,1.0,1.0,1.0,3
20260324_183429_mistral_large_anxious,mistral_large,anxious,0.15,17,1.0,0.7375067472457886,1.0,1.0,1.0,4
20260324_184930_mistral_large_anxious,mistral_large,anxious,0.15,19,1.0,0.7578557729721069,1.0,1.0,1.0,5
20260324_180614_mistral_large_avoidant,mistral_large,avoidant,0.075,9,1.0,0.7115846872329712,0.8875,1.0,1.0,1
20260323_234713_mistral_large_avoidant,mistral_large,avoidant,0.075,11,0.7368421052631574,0.7408580780029297,1.0,1.0,0.75,2
20260324_182019_mistral_large_avoidant,mistral_large,avoidant,0.075,13,1.0,0.7957014441490173,1.0,1.0,1.0,3
20260324_183532_mistral_large_avoidant,mistral_large,avoidant,0.075,15,1.0,0.8093904256820679,1.0,1.0,1.0,4
20260324_185033_mistral_large_avoidant,mistral_large,avoidant,0.075,17,1.0,0.7603793740272522,0.9875,1.0,1.0,5
20260324_180719_mistral_large_avoidant,mistral_large,avoidant,0.15,9,1.0,0.6967816948890686,0.9,1.0,1.0,1
20260321_194741_mistral_large_avoidant,mistral_large,avoidant,0.15,11,0.8210526315789475,0.7481280565261841,0.9875,1.0,0.85,2
